Neighbor list in replicated POSCAR file
Nearest neighbor distance: 1.926
Neighbor distances: (angstrom), number of neighbors
414th nearest neighbor distance: 16.164, number of neighbors: 24
415th nearest neighbor distance: 16.175, number of neighbors: 4
416th nearest neighbor distance: 16.235, number of neighbors: 10
417th nearest neighbor distance: 16.237, number of neighbors: 6
418th nearest neighbor distance: 16.239, number of neighbors: 10
419th nearest neighbor distance: 16.248, number of neighbors: 24
420th nearest neighbor distance: 16.268, number of neighbors: 48
421th nearest neighbor distance: 16.272, number of neighbors: 32
422th nearest neighbor distance: 16.275, number of neighbors: 6
423th nearest neighbor distance: 16.304, number of neighbors: 26
424th nearest neighbor distance: 16.312, number of neighbors: 20
425th nearest neighbor distance: 16.326, number of neighbors: 10
426th nearest neighbor distance: 16.333, number of neighbors: 8
427th nearest neighbor distance: 16.343, number of neighbors: 8
428th nearest neighbor distance: 16.360, number of neighbors: 14
429th nearest neighbor distance: 16.404, number of neighbors: 18
430th nearest neighbor distance: 16.446, number of neighbors: 8
431th nearest neighbor distance: 16.482, number of neighbors: 22
432th nearest neighbor distance: 16.490, number of neighbors: 8
433th nearest neighbor distance: 16.511, number of neighbors: 12
434th nearest neighbor distance: 16.514, number of neighbors: 24
435th nearest neighbor distance: 16.525, number of neighbors: 12
436th nearest neighbor distance: 16.542, number of neighbors: 8
437th nearest neighbor distance: 16.576, number of neighbors: 4
438th nearest neighbor distance: 16.589, number of neighbors: 44
439th nearest neighbor distance: 16.602, number of neighbors: 14
440th nearest neighbor distance: 16.616, number of neighbors: 6
441th nearest neighbor distance: 16.635, number of neighbors: 8
442th nearest neighbor distance: 16.664, number of neighbors: 6
443th nearest neighbor distance: 16.665, number of neighbors: 12
444th nearest neighbor distance: 16.689, number of neighbors: 16
445th nearest neighbor distance: 16.690, number of neighbors: 10
446th nearest neighbor distance: 16.708, number of neighbors: 20
447th nearest neighbor distance: 16.722, number of neighbors: 26
448th nearest neighbor distance: 16.731, number of neighbors: 4
449th nearest neighbor distance: 16.756, number of neighbors: 8
450th nearest neighbor distance: 16.769, number of neighbors: 16
451th nearest neighbor distance: 16.821, number of neighbors: 6
452th nearest neighbor distance: 16.889, number of neighbors: 24
453th nearest neighbor distance: 16.902, number of neighbors: 8
454th nearest neighbor distance: 16.922, number of neighbors: 4
455th nearest neighbor distance: 16.925, number of neighbors: 16
456th nearest neighbor distance: 16.929, number of neighbors: 4
457th nearest neighbor distance: 16.935, number of neighbors: 4
458th nearest neighbor distance: 16.958, number of neighbors: 12
459th nearest neighbor distance: 17.018, number of neighbors: 6
460th nearest neighbor distance: 17.028, number of neighbors: 10
461th nearest neighbor distance: 17.031, number of neighbors: 20
462th nearest neighbor distance: 17.128, number of neighbors: 16
463th nearest neighbor distance: 17.138, number of neighbors: 12
464th nearest neighbor distance: 17.161, number of neighbors: 16
465th nearest neighbor distance: 17.163, number of neighbors: 8
466th nearest neighbor distance: 17.168, number of neighbors: 6
467th nearest neighbor distance: 17.178, number of neighbors: 8
468th nearest neighbor distance: 17.199, number of neighbors: 24
469th nearest neighbor distance: 17.221, number of neighbors: 12
470th nearest neighbor distance: 17.273, number of neighbors: 6
471th nearest neighbor distance: 17.326, number of neighbors: 8
472th nearest neighbor distance: 17.340, number of neighbors: 8
473th nearest neighbor distance: 17.360, number of neighbors: 14
474th nearest neighbor distance: 17.362, number of neighbors: 2
475th nearest neighbor distance: 17.366, number of neighbors: 6
476th nearest neighbor distance: 17.372, number of neighbors: 8
477th nearest neighbor distance: 17.387, number of neighbors: 8
478th nearest neighbor distance: 17.390, number of neighbors: 8
479th nearest neighbor distance: 17.393, number of neighbors: 8
480th nearest neighbor distance: 17.424, number of neighbors: 6
481th nearest neighbor distance: 17.430, number of neighbors: 24
482th nearest neighbor distance: 17.459, number of neighbors: 8
483th nearest neighbor distance: 17.462, number of neighbors: 10
484th nearest neighbor distance: 17.470, number of neighbors: 6
485th nearest neighbor distance: 17.489, number of neighbors: 16
486th nearest neighbor distance: 17.525, number of neighbors: 8
487th nearest neighbor distance: 17.553, number of neighbors: 16
488th nearest neighbor distance: 17.557, number of neighbors: 8
489th nearest neighbor distance: 17.651, number of neighbors: 6
490th nearest neighbor distance: 17.665, number of neighbors: 4
491th nearest neighbor distance: 17.690, number of neighbors: 10
492th nearest neighbor distance: 17.718, number of neighbors: 6
493th nearest neighbor distance: 17.750, number of neighbors: 4
494th nearest neighbor distance: 17.781, number of neighbors: 12
495th nearest neighbor distance: 17.787, number of neighbors: 8
496th nearest neighbor distance: 17.788, number of neighbors: 12
497th nearest neighbor distance: 17.848, number of neighbors: 4
498th nearest neighbor distance: 17.887, number of neighbors: 32
499th nearest neighbor distance: 17.904, number of neighbors: 12
500th nearest neighbor distance: 17.911, number of neighbors: 6
501th nearest neighbor distance: 17.944, number of neighbors: 8
502th nearest neighbor distance: 17.961, number of neighbors: 4
503th nearest neighbor distance: 17.964, number of neighbors: 4
504th nearest neighbor distance: 17.973, number of neighbors: 4
505th nearest neighbor distance: 18.009, number of neighbors: 6
506th nearest neighbor distance: 18.071, number of neighbors: 2
507th nearest neighbor distance: 18.081, number of neighbors: 2
508th nearest neighbor distance: 18.134, number of neighbors: 6
